"Cenário","Gini","Bottom_50","Top_9","Top_1","Arrecadacao_BR","Dif_Arrecadacao_BR"
"Regime Atual",0.618162611523319,0.140601193043457,0.549830216622847,0.317101148680385,357.455580132644,0
"Nova Proposta",0.616479184980777,0.14077587533735,0.546333389408478,0.310662387774565,365.557045442698,8.10146531005381
"Nova c/ Aliq. Máxima",0.615288496034728,0.141217975559485,0.544908670088941,0.308497554412593,385.971343339917,28.515763207273
